id,book_id,name,author_id,author_name,rank
369,1425024,踏仙,539203,零夜月落,19.7659
370,302434,异世重生之蛋生宝宝,158366,谢葭,19.7348
371,720479,饲狼,103563,狂上加狂,19.7326
372,362710,夜行歌,171666,紫微流年,19.69
373,1807377,这日子没法过了,471971,天如玉,19.6514
374,267045,痴人说梦,30463,千年一叹,19.6014
375,726892,将就,397562,春天不开花,19.5828
376,5459,宠物饲养法（全文）,3877,候已,19.5738
377,1196775,生化之末世桃源,255394,大假发,19.5732
378,399317,公子晋阳（下部）,199171,吴沉水,19.5307
379,1391985,清穿之我是宁妃,659912,九月微蓝,19.5112
380,251646,未央——网王同人,211013,苹果冉冉,19.4986
381,1752533,位面孕夫的美满生活,530161,满地梨花雪,19.4973
382,246309,千年浮生梦,203972,春时暮春,19.479
383,89827,何者为卿狂(np?)网络版重开,69927,小苏三,19.47
384,1440111,重生之算账,123203,张鼎鼎,19.4683
385,437298,HP被迫穿成小H,318333,顾盼若浅,19.4386
386,389160,残酷罗曼史,90716,尼罗,19.4319
387,229267,猎人同人——迷糊小猫,105068,银色金吉拉,19.4023
388,515960,皇后刘黑胖,170714,戈鞅,19.3558
389,501681,［HP］雷古勒斯,306812,我想吃肉,19.3501
390,1750067,女配不在服务区,326443,十七玉色,19.3248
391,136797,月在回廊·新月如钩,52605,炼狱莲,19.3204
392,1205763,只谈钱不说爱,326705,月下金狐,19.2566
393,1101415,天佑（清穿）,321503,月下蝶影,19.2531
394,340107,凰涅天下(GL),259499,君朝西,19.212
395,748497,穿越后娘难为,468220,女人的宠物懒猫,19.1578
396,445741,综漫公主殿下,321503,月下蝶影,19.1355
397,419373,谋夫计,97733,叶梵,19.0837
398,372052,惊蜕,103563,狂上加狂,18.9833
399,1298602,将嫁,369239,绕梁三日,18.973
400,1440852,枭宠,45542,丁墨,18.9706
401,447835,[HP]伊路米的HP生活,277785,最终之章,18.9221
402,1787812,女户,306812,我想吃肉,18.877
403,979787,旅行者,132648,阿豆,18.8758
404,59025,梓童,47292,绿油油,18.8489
405,163688,楚有璇玑,137611,路漫漫其修远兮,18.8345
406,389909,菩萨赐我妖娆夫,232639,如梦悠悠,18.8249
407,446607,（射雕）陶华,279209,决绝,18.8215
408,1272798,史前男妻咸鱼翻身记,721814,大叔无良,18.8172
409,772868,HP为了世界和平,470903,天淡,18.8094
410,84897,江山多少年,39758,大风刮过,18.8046
411,236578,太后,179602,藤井彻,18.8037
412,375813,沥川往事,280441,玄隐,18.7923
413,408477,沉香豌,291018,步微澜,18.7789
414,1463647,论太子妃的倒掉,414449,茂林修竹,18.7746
415,249304,（网王同人）水月镜花,82976,纳兰佩紫,18.7378
416,1784778,重生复仇录,479193,两颗心的百草堂,18.7326
417,1652134,一婚还比一婚高,915987,晨雾的光,18.7238
418,239328,我是月城雪兔（综漫）,143824,奈落黄泉,18.7078
419,149563,良辰讵可待,31268,晴空蓝兮,18.6841
420,650523,义父,90716,尼罗,18.6527
